"Observation"	"Variable"	"Group"	"Supergroup"	"Pair"	"Measurement"
"observation14"	3	"treatment"	"supergroup1"	"pair2"	11.0416888840033
"observation15"	3	"treatment"	"supergroup1"	"pair2"	10.0122999067499
"observation16"	3	"treatment"	"supergroup1"	"pair2"	10.4017498238239
"observation01"	4	"control"	"supergroup1"	"pair1"	10.4124716770719
"observation02"	4	"control"	"supergroup1"	"pair1"	10.1104487655066
"observation03"	4	"control"	"supergroup1"	"pair1"	9.9864689643686
"observation04"	4	"control"	"supergroup1"	"pair1"	10.2635576276665
"observation05"	4	"control"	"supergroup1"	"pair2"	10.0824367408155
"observation06"	4	"control"	"supergroup1"	"pair2"	9.6123980475055
"observation07"	4	"control"	"supergroup1"	"pair2"	10.4621441826058
"observation08"	4	"control"	"supergroup1"	"pair2"	9.7133470490569
"observation09"	4	"treatment"	"supergroup1"	"pair1"	10.5237669846404
"observation10"	4	"treatment"	"supergroup1"	"pair1"	9.8736187911939
"observation11"	4	"treatment"	"supergroup1"	"pair1"	9.47239270554207
"observation12"	4	"treatment"	"supergroup1"	"pair1"	9.92607498482394
"observation13"	4	"treatment"	"supergroup1"	"pair2"	10.1716574379983
"observation14"	4	"treatment"	"supergroup1"	"pair2"	9.9029476171419
"observation15"	4	"treatment"	"supergroup1"	"pair2"	10.8397709229018
"observation16"	4	"treatment"	"supergroup1"	"pair2"	10.2578935010526
"observation01"	5	"control"	"supergroup1"	"pair1"	8.81150814517119
"observation02"	5	"control"	"supergroup1"	"pair1"	7.69644230343514
"observation03"	5	"control"	"supergroup1"	"pair1"	8.1227662684304
"observation04"	5	"control"	"supergroup1"	"pair1"	8.48248262412791
"observation05"	5	"control"	"supergroup1"	"pair2"	7.83720777813408
"observation06"	5	"control"	"supergroup1"	"pair2"	8.52917558607204
"observation07"	5	"control"	"supergroup1"	"pair2"	8.28080825767913
"observation08"	5	"control"	"supergroup1"	"pair2"	8.72644405377487
"observation09"	5	"treatment"	"supergroup1"	"pair1"	8.11200985437776
"observation10"	5	"treatment"	"supergroup1"	"pair1"	7.94286956911645
"observation11"	5	"treatment"	"supergroup1"	"pair1"	8.45806274790434
"observation12"	5	"treatment"	"supergroup1"	"pair1"	8.69717275084745
"observation13"	5	"treatment"	"supergroup1"	"pair2"	8.38538393048935
"observation14"	5	"treatment"	"supergroup1"	"pair2"	8.91920896195389
"observation15"	5	"treatment"	"supergroup1"	"pair2"	8.64275042912942
"observation16"	5	"treatment"	"supergroup1"	"pair2"	8.71749843372621
"observation01"	6	"control"	"supergroup1"	"pair1"	14.8567571032309
"observation02"	6	"control"	"supergroup1"	"pair1"	14.4564904025395
"observation03"	6	"control"	"supergroup1"	"pair1"	14.6176586592581
"observation04"	6	"control"	"supergroup1"	"pair1"	13.6572537787919
"observation05"	6	"control"	"supergroup1"	"pair2"	14.65402700955
"observation06"	6	"control"	"supergroup1"	"pair2"	14.2007110215989
"observation07"	6	"control"	"supergroup1"	"pair2"	15.4387762677925
"observation08"	6	"control"	"supergroup1"	"pair2"	14.526777307581
"observation09"	6	"treatment"	"supergroup1"	"pair1"	14.5008468652075
"observation10"	6	"treatment"	"supergroup1"	"pair1"	14.2662544626014
"observation11"	6	"treatment"	"supergroup1"	"pair1"	14.2928459030165
"observation12"	6	"treatment"	"supergroup1"	"pair1"	13.7881684750677
"observation13"	6	"treatment"	"supergroup1"	"pair2"	14.6642214942294
"observation14"	6	"treatment"	"supergroup1"	"pair2"	14.7467936441239
"observation15"	6	"treatment"	"supergroup1"	"pair2"	14.8406987236543
"observation16"	6	"treatment"	"supergroup1"	"pair2"	14.5563618592013
"observation01"	7	"control"	"supergroup1"	"pair1"	8.74735655298489
"observation02"	7	"control"	"supergroup1"	"pair1"	9.31124317659505
"observation03"	7	"control"	"supergroup1"	"pair1"	8.218756280221
"observation04"	7	"control"	"supergroup1"	"pair1"	8.95611317426869
"observation05"	7	"control"	"supergroup1"	"pair2"	9.52132286125594
"observation06"	7	"control"	"supergroup1"	"pair2"	8.14351294903797
"observation07"	7	"control"	"supergroup1"	"pair2"	7.94195759737775
"observation08"	7	"control"	"supergroup1"	"pair2"	7.4239401170626
"observation09"	7	"treatment"	"supergroup1"	"pair1"	8.6474514085996
"observation10"	7	"treatment"	"supergroup1"	"pair1"	8.22724717836819
"observation11"	7	"treatment"	"supergroup1"	"pair1"	8.10863489983615
"observation12"	7	"treatment"	"supergroup1"	"pair1"	8.51427620106793
"observation13"	7	"treatment"	"supergroup1"	"pair2"	8.01188948757878
"observation14"	7	"treatment"	"supergroup1"	"pair2"	8.47729008105861
"observation15"	7	"treatment"	"supergroup1"	"pair2"	7.87402459680722
"observation16"	7	"treatment"	"supergroup1"	"pair2"	8.64770553462258
"observation01"	8	"control"	"supergroup1"	"pair1"	15.738176922385
"observation02"	8	"control"	"supergroup1"	"pair1"	16.3874954064701
"observation03"	8	"control"	"supergroup1"	"pair1"	15.6610198633814
"observation04"	8	"control"	"supergroup1"	"pair1"	15.502781025466
"observation05"	8	"control"	"supergroup1"	"pair2"	15.696047192651
"observation06"	8	"control"	"supergroup1"	"pair2"	16.2044936883055
"observation07"	8	"control"	"supergroup1"	"pair2"	15.3477611523918
"observation08"	8	"control"	"supergroup1"	"pair2"	15.7278017506452
"observation09"	8	"treatment"	"supergroup1"	"pair1"	16.0768308146587
"observation10"	8	"treatment"	"supergroup1"	"pair1"	15.7004960082917
"observation11"	8	"treatment"	"supergroup1"	"pair1"	15.0452820104641
"observation12"	8	"treatment"	"supergroup1"	"pair1"	16.1797791344167
"observation13"	8	"treatment"	"supergroup1"	"pair2"	16.2547484693592
"observation14"	8	"treatment"	"supergroup1"	"pair2"	14.7831489304817
"observation15"	8	"treatment"	"supergroup1"	"pair2"	15.8648047293787
"observation16"	8	"treatment"	"supergroup1"	"pair2"	15.9103147915818
"observation01"	9	"control"	"supergroup1"	"pair1"	8.23467482876302
"observation02"	9	"control"	"supergroup1"	"pair1"	8.38511252842783
"observation03"	9	"control"	"supergroup1"	"pair1"	7.11963203739223
"observation04"	9	"control"	"supergroup1"	"pair1"	8.21138886738811
"observation05"	9	"control"	"supergroup1"	"pair2"	8.28866558894294
"observation06"	9	"control"	"supergroup1"	"pair2"	7.94905027517679
"observation07"	9	"control"	"supergroup1"	"pair2"	8.20355430108475
"observation08"	9	"control"	"supergroup1"	"pair2"	8.41689809981587
"observation09"	9	"treatment"	"supergroup1"	"pair1"	8.81469796524339
"observation10"	9	"treatment"	"supergroup1"	"pair1"	8.40118827969953
"observation11"	9	"treatment"	"supergroup1"	"pair1"	7.78808382375728
"observation12"	9	"treatment"	"supergroup1"	"pair1"	7.82563272390573
"observation13"	9	"treatment"	"supergroup1"	"pair2"	8.69940813479606
"observation14"	9	"treatment"	"supergroup1"	"pair2"	8.24774836073997
"observation15"	9	"treatment"	"supergroup1"	"pair2"	8.04825438693937
"observation16"	9	"treatment"	"supergroup1"	"pair2"	8.92695874831417
"observation01"	10	"control"	"supergroup1"	"pair1"	12.7158704290248
"observation02"	10	"control"	"supergroup1"	"pair1"	13.4005043335658
"observation03"	10	"control"	"supergroup1"	"pair1"	14.153833691348
"observation04"	10	"control"	"supergroup1"	"pair1"	14.0552937705405
"observation05"	10	"control"	"supergroup1"	"pair2"	13.9151445427963
"observation06"	10	"control"	"supergroup1"	"pair2"	13.258590378334
"observation07"	10	"control"	"supergroup1"	"pair2"	14.0895982249691
"observation08"	10	"control"	"supergroup1"	"pair2"	13.3474420842392
"observation09"	10	"treatment"	"supergroup1"	"pair1"	13.578953390192
"observation10"	10	"treatment"	"supergroup1"	"pair1"	13.3505260485507
"observation11"	10	"treatment"	"supergroup1"	"pair1"	13.9890318943054
"observation12"	10	"treatment"	"supergroup1"	"pair1"	13.7178680438582
"observation13"	10	"treatment"	"supergroup1"	"pair2"	13.3555198776785
"observation14"	10	"treatment"	"supergroup1"	"pair2"	12.7658703082005
"observation15"	10	"treatment"	"supergroup1"	"pair2"	13.4319681277902
"observation16"	10	"treatment"	"supergroup1"	"pair2"	13.299921836403
"observation01"	11	"control"	"supergroup1"	"pair1"	6.2607316715981
"observation02"	11	"control"	"supergroup1"	"pair1"	5.91831790477602
"observation03"	11	"control"	"supergroup1"	"pair1"	5.27165705606495
"observation04"	11	"control"	"supergroup1"	"pair1"	4.66987480901592
"observation05"	11	"control"	"supergroup1"	"pair2"	4.6591987790926
"observation06"	11	"control"	"supergroup1"	"pair2"	6.48351173532788
"observation07"	11	"control"	"supergroup1"	"pair2"	4.9988591770556
"observation08"	11	"control"	"supergroup1"	"pair2"	4.78060935219293
"observation09"	11	"treatment"	"supergroup1"	"pair1"	5.55224661295278
"observation10"	11	"treatment"	"supergroup1"	"pair1"	5.31743732872296
"observation11"	11	"treatment"	"supergroup1"	"pair1"	5.20454698008089
"observation12"	11	"treatment"	"supergroup1"	"pair1"	5.86230637573248
"observation13"	11	"treatment"	"supergroup1"	"pair2"	5.63294913181934
"observation14"	11	"treatment"	"supergroup1"	"pair2"	5.96778594099213
"observation15"	11	"treatment"	"supergroup1"	"pair2"	5.42664666671163
"observation16"	11	"treatment"	"supergroup1"	"pair2"	5.42803144513924
"observation01"	12	"control"	"supergroup1"	"pair1"	8.31186384741865
"observation02"	12	"control"	"supergroup1"	"pair1"	7.85776275872117
"observation03"	12	"control"	"supergroup1"	"pair1"	7.60542764493619
"observation04"	12	"control"	"supergroup1"	"pair1"	8.66767308590523
"observation05"	12	"control"	"supergroup1"	"pair2"	7.73009087844207
"observation06"	12	"control"	"supergroup1"	"pair2"	7.07289138374099
"observation07"	12	"control"	"supergroup1"	"pair2"	7.70391099735206
"observation08"	12	"control"	"supergroup1"	"pair2"	7.62472864469139
"observation09"	12	"treatment"	"supergroup1"	"pair1"	7.30687560888176
"observation10"	12	"treatment"	"supergroup1"	"pair1"	7.57237256403385
"observation11"	12	"treatment"	"supergroup1"	"pair1"	7.30212178004907
"observation12"	12	"treatment"	"supergroup1"	"pair1"	9.18301522786069
"observation13"	12	"treatment"	"supergroup1"	"pair2"	8.77846232349935
"observation14"	12	"treatment"	"supergroup1"	"pair2"	7.08583545697136
"observation15"	12	"treatment"	"supergroup1"	"pair2"	7.54076939813573
"observation16"	12	"treatment"	"supergroup1"	"pair2"	7.48969488149045
"observation01"	13	"control"	"supergroup1"	"pair1"	8.92679748966385
"observation02"	13	"control"	"supergroup1"	"pair1"	8.19777201915849
"observation03"	13	"control"	"supergroup1"	"pair1"	8.22359542126357
"observation04"	13	"control"	"supergroup1"	"pair1"	8.2580207186374
"observation05"	13	"control"	"supergroup1"	"pair2"	8.88015420897963
"observation06"	13	"control"	"supergroup1"	"pair2"	8.07647889295623
"observation07"	13	"control"	"supergroup1"	"pair2"	8.21443452483645
"observation08"	13	"control"	"supergroup1"	"pair2"	8.38746994047354
"observation09"	13	"treatment"	"supergroup1"	"pair1"	9.40294876925343
"observation10"	13	"treatment"	"supergroup1"	"pair1"	8.65893141146562
"observation11"	13	"treatment"	"supergroup1"	"pair1"	7.67632672919887
"observation12"	13	"treatment"	"supergroup1"	"pair1"	7.65988217244164
"observation13"	13	"treatment"	"supergroup1"	"pair2"	7.69947490867072
"observation14"	13	"treatment"	"supergroup1"	"pair2"	8.68447866805523
"observation15"	13	"treatment"	"supergroup1"	"pair2"	8.27201748018501
"observation16"	13	"treatment"	"supergroup1"	"pair2"	7.40680055564036
"observation01"	14	"control"	"supergroup1"	"pair1"	10.4391206659259
"observation02"	14	"control"	"supergroup1"	"pair1"	10.6789032936574
"observation03"	14	"control"	"supergroup1"	"pair1"	10.345394682519
"observation04"	14	"control"	"supergroup1"	"pair1"	11.4541750712096
"observation05"	14	"control"	"supergroup1"	"pair2"	10.7632326532816
"observation06"	14	"control"	"supergroup1"	"pair2"	11.7101384965246
"observation07"	14	"control"	"supergroup1"	"pair2"	11.1384261790032
"observation08"	14	"control"	"supergroup1"	"pair2"	10.5545915984499
"observation09"	14	"treatment"	"supergroup1"	"pair1"	11.3088101260464
"observation10"	14	"treatment"	"supergroup1"	"pair1"	10.4450226705021
"observation11"	14	"treatment"	"supergroup1"	"pair1"	10.2065409819729
"observation12"	14	"treatment"	"supergroup1"	"pair1"	11.1190818013263
"observation13"	14	"treatment"	"supergroup1"	"pair2"	10.779850679827
"observation14"	14	"treatment"	"supergroup1"	"pair2"	10.9581311552449
"observation15"	14	"treatment"	"supergroup1"	"pair2"	10.7581801863186
"observation16"	14	"treatment"	"supergroup1"	"pair2"	11.7306590369513
"observation01"	15	"control"	"supergroup1"	"pair1"	7.85360914003394
"observation02"	15	"control"	"supergroup1"	"pair1"	8.26503001252225
"observation03"	15	"control"	"supergroup1"	"pair1"	8.16750897951975
"observation04"	15	"control"	"supergroup1"	"pair1"	7.89998142346111
"observation05"	15	"control"	"supergroup1"	"pair2"	6.98002850975483
"observation06"	15	"control"	"supergroup1"	"pair2"	8.50515399559002
"observation07"	15	"control"	"supergroup1"	"pair2"	7.45042532341956
"observation08"	15	"control"	"supergroup1"	"pair2"	7.60277640722245
"observation09"	15	"treatment"	"supergroup1"	"pair1"	8.22693723333714
"observation10"	15	"treatment"	"supergroup1"	"pair1"	7.56634748697946
"observation11"	15	"treatment"	"supergroup1"	"pair1"	7.30430620002967
"observation12"	15	"treatment"	"supergroup1"	"pair1"	8.49324765041551
"observation13"	15	"treatment"	"supergroup1"	"pair2"	7.13343711794419
"observation14"	15	"treatment"	"supergroup1"	"pair2"	7.55842620838434
"observation15"	15	"treatment"	"supergroup1"	"pair2"	7.2878181636859
"observation16"	15	"treatment"	"supergroup1"	"pair2"	7.2490216799869
"observation01"	16	"control"	"supergroup1"	"pair1"	4.0772264327546
"observation02"	16	"control"	"supergroup1"	"pair1"	4.40893736348055
"observation03"	16	"control"	"supergroup1"	"pair1"	4.2166810789133
"observation04"	16	"control"	"supergroup1"	"pair1"	5.00720493970663
"observation05"	16	"control"	"supergroup1"	"pair2"	4.6601957514839
"observation06"	16	"control"	"supergroup1"	"pair2"	4.74902554530518
"observation07"	16	"control"	"supergroup1"	"pair2"	4.808751191535
"observation08"	16	"control"	"supergroup1"	"pair2"	5.16421176617716
"observation09"	16	"treatment"	"supergroup1"	"pair1"	3.70233047782841
"observation10"	16	"treatment"	"supergroup1"	"pair1"	4.24075255451765
"observation11"	16	"treatment"	"supergroup1"	"pair1"	4.55904742174477
"observation12"	16	"treatment"	"supergroup1"	"pair1"	4.1529561434928
"observation13"	16	"treatment"	"supergroup1"	"pair2"	5.1536225228623
"observation14"	16	"treatment"	"supergroup1"	"pair2"	3.63534616836465
"observation15"	16	"treatment"	"supergroup1"	"pair2"	5.24784179443434
"observation16"	16	"treatment"	"supergroup1"	"pair2"	4.19404543460848
"observation01"	17	"control"	"supergroup1"	"pair1"	13.9920713021374
"observation02"	17	"control"	"supergroup1"	"pair1"	13.4061188486094
"observation03"	17	"control"	"supergroup1"	"pair1"	13.019320942624
"observation04"	17	"control"	"supergroup1"	"pair1"	13.213082317583
"observation05"	17	"control"	"supergroup1"	"pair2"	14.0315672944988
"observation06"	17	"control"	"supergroup1"	"pair2"	13.6277753165437
"observation07"	17	"control"	"supergroup1"	"pair2"	13.4008518132166
"observation08"	17	"control"	"supergroup1"	"pair2"	13.7360686434377
"observation09"	17	"treatment"	"supergroup1"	"pair1"	13.1599858721531
"observation10"	17	"treatment"	"supergroup1"	"pair1"	11.7596348878374
"observation11"	17	"treatment"	"supergroup1"	"pair1"	14.59474439602
"observation12"	17	"treatment"	"supergroup1"	"pair1"	13.630536657755
"observation13"	17	"treatment"	"supergroup1"	"pair2"	13.7641601628633
"observation14"	17	"treatment"	"supergroup1"	"pair2"	13.3380275388839
"observation15"	17	"treatment"	"supergroup1"	"pair2"	12.4980019771496
"observation16"	17	"treatment"	"supergroup1"	"pair2"	13.4930100428336
"observation01"	18	"control"	"supergroup1"	"pair1"	7.57171082648412
"observation02"	18	"control"	"supergroup1"	"pair1"	8.49290159213074
"observation03"	18	"control"	"supergroup1"	"pair1"	8.16089313023641
"observation04"	18	"control"	"supergroup1"	"pair1"	7.51282949932613
"observation05"	18	"control"	"supergroup1"	"pair2"	7.86801293379155
"observation06"	18	"control"	"supergroup1"	"pair2"	7.16390594649315
"observation07"	18	"control"	"supergroup1"	"pair2"	7.4748456246164
"observation08"	18	"control"	"supergroup1"	"pair2"	7.15513203761004
"observation09"	18	"treatment"	"supergroup1"	"pair1"	7.30368951705728
"observation10"	18	"treatment"	"supergroup1"	"pair1"	7.11810235360409
"observation11"	18	"treatment"	"supergroup1"	"pair1"	8.32401141804816
"observation12"	18	"treatment"	"supergroup1"	"pair1"	7.35072305939876
"observation13"	18	"treatment"	"supergroup1"	"pair2"	7.70649455659703
"observation14"	18	"treatment"	"supergroup1"	"pair2"	7.09593378562479
"observation15"	18	"treatment"	"supergroup1"	"pair2"	8.33649853607204
"observation16"	18	"treatment"	"supergroup1"	"pair2"	7.51660693528852
"observation01"	19	"control"	"supergroup1"	"pair1"	7.99268449470024
"observation02"	19	"control"	"supergroup1"	"pair1"	8.10322528791361
"observation03"	19	"control"	"supergroup1"	"pair1"	7.80129049265749
"observation04"	19	"control"	"supergroup1"	"pair1"	8.11274694419278
"observation05"	19	"control"	"supergroup1"	"pair2"	7.30490968103716
"observation06"	19	"control"	"supergroup1"	"pair2"	8.38503402017586
"observation07"	19	"control"	"supergroup1"	"pair2"	8.84059824410192
"observation08"	19	"control"	"supergroup1"	"pair2"	8.31493059058895
"observation09"	19	"treatment"	"supergroup1"	"pair1"	8.6498638431284
"observation10"	19	"treatment"	"supergroup1"	"pair1"	7.44905412276589
"observation11"	19	"treatment"	"supergroup1"	"pair1"	8.36867082014295
"observation12"	19	"treatment"	"supergroup1"	"pair1"	8.21379071204244
"observation13"	19	"treatment"	"supergroup1"	"pair2"	7.45002076092857
"observation14"	19	"treatment"	"supergroup1"	"pair2"	8.54755113737963
"observation15"	19	"treatment"	"supergroup1"	"pair2"	8.67404299324232
"observation16"	19	"treatment"	"supergroup1"	"pair2"	8.91255450076037
"observation01"	20	"control"	"supergroup1"	"pair1"	12.9364587828452
"observation02"	20	"control"	"supergroup1"	"pair1"	12.9249495687739
"observation03"	20	"control"	"supergroup1"	"pair1"	12.4494583566585
"observation04"	20	"control"	"supergroup1"	"pair1"	13.1019157089821
"observation05"	20	"control"	"supergroup1"	"pair2"	13.9384964077338
"observation06"	20	"control"	"supergroup1"	"pair2"	13.0437878324166
"observation07"	20	"control"	"supergroup1"	"pair2"	13.1095942836111
"observation08"	20	"control"	"supergroup1"	"pair2"	12.9609331373334
"observation09"	20	"treatment"	"supergroup1"	"pair1"	13.3731543892913
"observation10"	20	"treatment"	"supergroup1"	"pair1"	13.5990452874297
"observation11"	20	"treatment"	"supergroup1"	"pair1"	13.5453773664215
"observation12"	20	"treatment"	"supergroup1"	"pair1"	13.3020275762358
"observation13"	20	"treatment"	"supergroup1"	"pair2"	13.2744988994507
"observation14"	20	"treatment"	"supergroup1"	"pair2"	13.7529015724867
"observation15"	20	"treatment"	"supergroup1"	"pair2"	13.3514625677817
"observation16"	20	"treatment"	"supergroup1"	"pair2"	11.7291559012493
"observation01"	21	"control"	"supergroup1"	"pair1"	6.42501092044823
"observation02"	21	"control"	"supergroup1"	"pair1"	6.72222348186974
"observation03"	21	"control"	"supergroup1"	"pair1"	6.47525350883632
"observation04"	21	"control"	"supergroup1"	"pair1"	8.20787139913976
"observation05"	21	"control"	"supergroup1"	"pair2"	7.97448059669572
"observation06"	21	"control"	"supergroup1"	"pair2"	7.69969043723112
"observation07"	21	"control"	"supergroup1"	"pair2"	7.08980030409509
"observation08"	21	"control"	"supergroup1"	"pair2"	7.34087310297355
"observation09"	21	"treatment"	"supergroup1"	"pair1"	7.28476423457493
"observation10"	21	"treatment"	"supergroup1"	"pair1"	8.20400350561711
"observation11"	21	"treatment"	"supergroup1"	"pair1"	7.72177458382665
"observation12"	21	"treatment"	"supergroup1"	"pair1"	6.97857525949477
"observation13"	21	"treatment"	"supergroup1"	"pair2"	8.27108000318568
"observation14"	21	"treatment"	"supergroup1"	"pair2"	7.50009000183703
"observation15"	21	"treatment"	"supergroup1"	"pair2"	7.90522691702977
"observation16"	21	"treatment"	"supergroup1"	"pair2"	7.06941652374705
"observation01"	22	"control"	"supergroup1"	"pair1"	7.73409127310059
"observation02"	22	"control"	"supergroup1"	"pair1"	8.0469511843074
"observation03"	22	"control"	"supergroup1"	"pair1"	6.91163974058984
"observation04"	22	"control"	"supergroup1"	"pair1"	8.16942464413961
"observation05"	22	"control"	"supergroup1"	"pair2"	8.90084216035689
"observation06"	22	"control"	"supergroup1"	"pair2"	7.49287675603303
"observation07"	22	"control"	"supergroup1"	"pair2"	7.83551691140485
"observation08"	22	"control"	"supergroup1"	"pair2"	8.14766328084365
"observation09"	22	"treatment"	"supergroup1"	"pair1"	7.04429413391752
"observation10"	22	"treatment"	"supergroup1"	"pair1"	8.29600207068272
"observation11"	22	"treatment"	"supergroup1"	"pair1"	8.68315577421796
"observation12"	22	"treatment"	"supergroup1"	"pair1"	9.02377696440362
"observation13"	22	"treatment"	"supergroup1"	"pair2"	7.78852705129741
"observation14"	22	"treatment"	"supergroup1"	"pair2"	7.74500994965273
"observation15"	22	"treatment"	"supergroup1"	"pair2"	8.76736412555748
"observation16"	22	"treatment"	"supergroup1"	"pair2"	8.26223111179572
"observation01"	23	"control"	"supergroup1"	"pair1"	5.11095705573792
"observation02"	23	"control"	"supergroup1"	"pair1"	4.41867019030924
"observation03"	23	"control"	"supergroup1"	"pair1"	5.1090297176418
"observation04"	23	"control"	"supergroup1"	"pair1"	5.01500244428815
"observation05"	23	"control"	"supergroup1"	"pair2"	4.07700665150977
"observation06"	23	"control"	"supergroup1"	"pair2"	4.32240957162268
"observation07"	23	"control"	"supergroup1"	"pair2"	4.97286641509096
"observation08"	23	"control"	"supergroup1"	"pair2"	5.03690899967301
"observation09"	23	"treatment"	"supergroup1"	"pair1"	4.84808628773807
"observation10"	23	"treatment"	"supergroup1"	"pair1"	5.04055308441599
"observation11"	23	"treatment"	"supergroup1"	"pair1"	4.92399074701359
"observation12"	23	"treatment"	"supergroup1"	"pair1"	5.58444699772026
"observation13"	23	"treatment"	"supergroup1"	"pair2"	4.78642197311975
"observation14"	23	"treatment"	"supergroup1"	"pair2"	5.02750284820142
"observation15"	23	"treatment"	"supergroup1"	"pair2"	4.30717236021608
"observation16"	23	"treatment"	"supergroup1"	"pair2"	4.60200353359321
"observation01"	24	"control"	"supergroup1"	"pair1"	10.0738360992895
"observation02"	24	"control"	"supergroup1"	"pair1"	11.0839893447561
"observation03"	24	"control"	"supergroup1"	"pair1"	10.2874493797638
"observation04"	24	"control"	"supergroup1"	"pair1"	10.7357105231598
"observation05"	24	"control"	"supergroup1"	"pair2"	10.8914920344206
"observation06"	24	"control"	"supergroup1"	"pair2"	10.1578574547628
"observation07"	24	"control"	"supergroup1"	"pair2"	11.0418962293607
"observation08"	24	"control"	"supergroup1"	"pair2"	9.94591538011961
"observation09"	24	"treatment"	"supergroup1"	"pair1"	10.4037973002228
"observation10"	24	"treatment"	"supergroup1"	"pair1"	9.55740818684283
"observation11"	24	"treatment"	"supergroup1"	"pair1"	10.2192769441677
"observation12"	24	"treatment"	"supergroup1"	"pair1"	10.2844418080654
"observation13"	24	"treatment"	"supergroup1"	"pair2"	9.84972648371607
"observation14"	24	"treatment"	"supergroup1"	"pair2"	9.25993178797681
"observation15"	24	"treatment"	"supergroup1"	"pair2"	9.82158951217552
"observation16"	24	"treatment"	"supergroup1"	"pair2"	10.2921296725951
"observation01"	25	"control"	"supergroup1"	"pair1"	6.24093442884744
"observation02"	25	"control"	"supergroup1"	"pair1"	6.98201265542577
"observation03"	25	"control"	"supergroup1"	"pair1"	6.73789466790674
"observation04"	25	"control"	"supergroup1"	"pair1"	6.93971974896549
"observation05"	25	"control"	"supergroup1"	"pair2"	7.18178068737831
"observation06"	25	"control"	"supergroup1"	"pair2"	7.36539672995722
"observation07"	25	"control"	"supergroup1"	"pair2"	7.18900241755062
"observation08"	25	"control"	"supergroup1"	"pair2"	6.52688806857605
"observation09"	25	"treatment"	"supergroup1"	"pair1"	6.48256858417014
"observation10"	25	"treatment"	"supergroup1"	"pair1"	7.59111630981294
"observation11"	25	"treatment"	"supergroup1"	"pair1"	7.52672111094645
"observation12"	25	"treatment"	"supergroup1"	"pair1"	7.70469806110295
"observation13"	25	"treatment"	"supergroup1"	"pair2"	6.66228352839673
"observation14"	25	"treatment"	"supergroup1"	"pair2"	6.26928397633155
