"Observation"	"Variable"	"Group"	"Measurement"
"observation11"	4	"Treatment"	9.86729672877351
"observation12"	4	"Treatment"	10.4031410469781
"observation13"	4	"Treatment"	10.5882719787261
"observation14"	4	"Treatment"	10.1422744490071
"observation01"	5	"Control"	8.86516098851224
"observation02"	5	"Control"	8.56968510446537
"observation03"	5	"Control"	8.70904665314479
"observation04"	5	"Control"	8.1722478123944
"observation05"	5	"Control"	9.13233998059203
"observation06"	5	"Control"	9.02057988344324
"observation07"	5	"Control"	8.89075808309165
"observation08"	5	"Treatment"	7.63192569796765
"observation09"	5	"Treatment"	8.38197996950768
"observation10"	5	"Treatment"	8.70629875249345
"observation11"	5	"Treatment"	7.81996912531504
"observation12"	5	"Treatment"	8.33912643737897
"observation13"	5	"Treatment"	8.44357572913308
"observation14"	5	"Treatment"	8.85137739448791
"observation01"	6	"Control"	14.3641330964172
"observation02"	6	"Control"	13.6190946972513
"observation03"	6	"Control"	14.4411913315848
"observation04"	6	"Control"	14.6740583794909
"observation05"	6	"Control"	13.6644240401132
"observation06"	6	"Control"	14.8175941089759
"observation07"	6	"Control"	14.6370314869848
"observation08"	6	"Treatment"	13.4212828589143
"observation09"	6	"Treatment"	14.3232371692994
"observation10"	6	"Treatment"	14.2119334600683
"observation11"	6	"Treatment"	14.007892651085
"observation12"	6	"Treatment"	14.8835612552886
"observation13"	6	"Treatment"	15.4360543526469
"observation14"	6	"Treatment"	14.4653537419968
"observation01"	7	"Control"	8.28346656855862
"observation02"	7	"Control"	8.52726110839098
"observation03"	7	"Control"	8.71102371280897
"observation04"	7	"Control"	8.5541589485747
"observation05"	7	"Control"	7.84105876500278
"observation06"	7	"Control"	8.18398025280304
"observation07"	7	"Control"	8.57309692099162
"observation08"	7	"Treatment"	8.09973855722727
"observation09"	7	"Treatment"	9.49296541609839
"observation10"	7	"Treatment"	7.69690932354664
"observation11"	7	"Treatment"	8.26069400417324
"observation12"	7	"Treatment"	8.11581990294597
"observation13"	7	"Treatment"	8.86845574778492
"observation14"	7	"Treatment"	8.87178760662514
"observation01"	8	"Control"	16.0200626401881
"observation02"	8	"Control"	15.7893376503304
"observation03"	8	"Control"	15.4100102432277
"observation04"	8	"Control"	15.828863968337
"observation05"	8	"Control"	15.7572710449151
"observation06"	8	"Control"	16.5053601069578
"observation07"	8	"Control"	15.524521495219
"observation08"	8	"Treatment"	16.036145216917
"observation09"	8	"Treatment"	15.9329658085492
"observation10"	8	"Treatment"	16.1318631932199
"observation11"	8	"Treatment"	15.7275806931609
"observation12"	8	"Treatment"	15.9185998884714
"observation13"	8	"Treatment"	15.8803418263592
"observation14"	8	"Treatment"	15.0888913172478
"observation01"	9	"Control"	8.99170349791143
"observation02"	9	"Control"	8.24254918697394
"observation03"	9	"Control"	8.06268493488568
"observation04"	9	"Control"	8.22263113930057
"observation05"	9	"Control"	8.36991500071623
"observation06"	9	"Control"	8.89406132542148
"observation07"	9	"Control"	8.41862621328437
"observation08"	9	"Treatment"	8.15855440611766
"observation09"	9	"Treatment"	8.7582058275155
"observation10"	9	"Treatment"	9.28828839222076
"observation11"	9	"Treatment"	8.16740726035266
"observation12"	9	"Treatment"	8.30700836882978
"observation13"	9	"Treatment"	8.70085207538228
"observation14"	9	"Treatment"	8.58621774540675
"observation01"	10	"Control"	13.6777903280709
"observation02"	10	"Control"	12.9811626813875
"observation03"	10	"Control"	13.4938295340781
"observation04"	10	"Control"	13.392475260755
"observation05"	10	"Control"	13.7453096424512
"observation06"	10	"Control"	13.439133070943
"observation07"	10	"Control"	12.8270705885438
"observation08"	10	"Treatment"	14.1262104464157
"observation09"	10	"Treatment"	13.2900718889822
"observation10"	10	"Treatment"	12.1330529795851
"observation11"	10	"Treatment"	13.4278807166902
"observation12"	10	"Treatment"	13.9767874838297
"observation13"	10	"Treatment"	13.1718716508963
"observation14"	10	"Treatment"	13.1454914975984
"observation01"	11	"Control"	5.40607971186486
"observation02"	11	"Control"	4.92020808575313
"observation03"	11	"Control"	4.99475017332361
"observation04"	11	"Control"	5.19597368671148
"observation05"	11	"Control"	5.71567339059846
"observation06"	11	"Control"	5.2847708409428
"observation07"	11	"Control"	5.14295365326806
"observation08"	11	"Treatment"	5.5956028115854
"observation09"	11	"Treatment"	5.31027931679893
"observation10"	11	"Treatment"	5.4929188987344
"observation11"	11	"Treatment"	5.57962793888163
"observation12"	11	"Treatment"	6.14443750769957
"observation13"	11	"Treatment"	5.66740912753641
"observation14"	11	"Treatment"	6.63498406839542
"observation01"	12	"Control"	7.76133446674005
"observation02"	12	"Control"	7.69241903402489
"observation03"	12	"Control"	7.93000738320124
"observation04"	12	"Control"	8.43009782521297
"observation05"	12	"Control"	7.69552521180303
"observation06"	12	"Control"	7.68588181755196
"observation07"	12	"Control"	8.12170692062788
"observation08"	12	"Treatment"	7.70904495055959
"observation09"	12	"Treatment"	7.6378952302601
"observation10"	12	"Treatment"	7.47964402258437
"observation11"	12	"Treatment"	8.09615345175718
"observation12"	12	"Treatment"	8.45979808728776
"observation13"	12	"Treatment"	8.23136499967498
"observation14"	12	"Treatment"	7.55959198567387
"observation01"	13	"Control"	9.23337245093003
"observation02"	13	"Control"	8.14101595545722
"observation03"	13	"Control"	7.54431503634946
"observation04"	13	"Control"	8.5469516215366
"observation05"	13	"Control"	8.46239403802862
"observation06"	13	"Control"	8.22012826578565
"observation07"	13	"Control"	8.45073155602853
"observation08"	13	"Treatment"	8.8601462565816
"observation09"	13	"Treatment"	7.87471930677113
"observation10"	13	"Treatment"	7.14547423035323
"observation11"	13	"Treatment"	8.22376401421493
"observation12"	13	"Treatment"	8.72479707314974
"observation13"	13	"Treatment"	8.73869606619806
"observation14"	13	"Treatment"	7.84958337729189
"observation01"	14	"Control"	10.2167169003426
"observation02"	14	"Control"	11.0395972475902
"observation03"	14	"Control"	10.7933194620337
"observation04"	14	"Control"	11.0410667247391
"observation05"	14	"Control"	11.0174051499592
"observation06"	14	"Control"	11.7434808993336
"observation07"	14	"Control"	10.8468798468104
"observation08"	14	"Treatment"	10.519942988405
"observation09"	14	"Treatment"	11.0296770563268
"observation10"	14	"Treatment"	10.2587076156679
"observation11"	14	"Treatment"	11.3560071083333
"observation12"	14	"Treatment"	11.4976777584445
"observation13"	14	"Treatment"	10.8767883671353
"observation14"	14	"Treatment"	10.4973589088726
"observation01"	15	"Control"	7.76424948200652
"observation02"	15	"Control"	8.16764783027395
"observation03"	15	"Control"	7.62620986704759
"observation04"	15	"Control"	7.97695289292444
"observation05"	15	"Control"	8.23519988147111
"observation06"	15	"Control"	7.76421887557828
"observation07"	15	"Control"	6.98208698072667
"observation08"	15	"Treatment"	7.88689426547006
"observation09"	15	"Treatment"	7.14078082963057
"observation10"	15	"Treatment"	8.26897735802959
"observation11"	15	"Treatment"	7.93521641027674
"observation12"	15	"Treatment"	7.05547000110759
"observation13"	15	"Treatment"	7.51986057535446
"observation14"	15	"Treatment"	7.48600060179905
"observation01"	16	"Control"	4.12937836905562
"observation02"	16	"Control"	4.75985761974355
"observation03"	16	"Control"	3.72901813951094
"observation04"	16	"Control"	4.17811180159618
"observation05"	16	"Control"	4.58860636273443
"observation06"	16	"Control"	3.97589850196845
"observation07"	16	"Control"	4.85783874590148
"observation08"	16	"Treatment"	3.94567186364103
"observation09"	16	"Treatment"	4.59794791319767
"observation10"	16	"Treatment"	4.13557090651927
"observation11"	16	"Treatment"	3.99930597092979
"observation12"	16	"Treatment"	4.64064467296933
"observation13"	16	"Treatment"	5.01228603731656
"observation14"	16	"Treatment"	4.27708057131128
"observation01"	17	"Control"	12.9926356509388
"observation02"	17	"Control"	13.6594636930534
"observation03"	17	"Control"	13.4910848856383
"observation04"	17	"Control"	13.4160668213906
"observation05"	17	"Control"	12.786856760211
"observation06"	17	"Control"	13.8725774090825
"observation07"	17	"Control"	13.3704203801744
"observation08"	17	"Treatment"	14.6604952684583
"observation09"	17	"Treatment"	13.5037848982484
"observation10"	17	"Treatment"	13.8548833710394
"observation11"	17	"Treatment"	13.7988909433278
"observation12"	17	"Treatment"	13.4409103148588
"observation13"	17	"Treatment"	13.231895646422
"observation14"	17	"Treatment"	13.7381140358446
"observation01"	18	"Control"	7.91787687711908
"observation02"	18	"Control"	7.97942799446969
"observation03"	18	"Control"	8.61272965063336
"observation04"	18	"Control"	7.73827723298662
"observation05"	18	"Control"	8.5640911268392
"observation06"	18	"Control"	8.21590902521196
"observation07"	18	"Control"	7.52990764796616
"observation08"	18	"Treatment"	7.33278705325759
"observation09"	18	"Treatment"	7.16018542054643
"observation10"	18	"Treatment"	8.32885070337933
"observation11"	18	"Treatment"	7.49527698327095
"observation12"	18	"Treatment"	7.94356193738356
"observation13"	18	"Treatment"	7.94273394196218
"observation14"	18	"Treatment"	7.47799603755206
"observation01"	19	"Control"	8.52771680545971
"observation02"	19	"Control"	8.27786959354516
"observation03"	19	"Control"	8.35293032020603
"observation04"	19	"Control"	8.14282519815653
"observation05"	19	"Control"	7.85532710255362
"observation06"	19	"Control"	7.95934909922977
"observation07"	19	"Control"	8.76816692027607
"observation08"	19	"Treatment"	7.78303732408241
"observation09"	19	"Treatment"	7.62724808245478
"observation10"	19	"Treatment"	8.07823784796408
"observation11"	19	"Treatment"	7.81678064608554
"observation12"	19	"Treatment"	7.58447994437217
"observation13"	19	"Treatment"	8.34828518605731
"observation14"	19	"Treatment"	8.09787049894661
"observation01"	20	"Control"	12.9943413263155
"observation02"	20	"Control"	12.7568303895901
"observation03"	20	"Control"	13.5915133508242
"observation04"	20	"Control"	12.1418281288493
"observation05"	20	"Control"	12.8019205670309
"observation06"	20	"Control"	13.1686050720409
"observation07"	20	"Control"	12.5195296747445
"observation08"	20	"Treatment"	13.0108993279081
"observation09"	20	"Treatment"	13.03841647275
"observation10"	20	"Treatment"	12.8669714763839
"observation11"	20	"Treatment"	13.2821422406699
"observation12"	20	"Treatment"	12.496688978468
"observation13"	20	"Treatment"	12.5733354265694
"observation14"	20	"Treatment"	13.4298800148409
"observation01"	21	"Control"	7.00699530848827
"observation02"	21	"Control"	6.62271854176843
"observation03"	21	"Control"	7.33386938966077
"observation04"	21	"Control"	7.68355656344939
"observation05"	21	"Control"	7.84045593055357
"observation06"	21	"Control"	7.83017778188815
"observation07"	21	"Control"	6.9002933364717
"observation08"	21	"Treatment"	7.52737341698311
"observation09"	21	"Treatment"	6.8631866468383
"observation10"	21	"Treatment"	7.95122280846985
"observation11"	21	"Treatment"	6.93490541234792
"observation12"	21	"Treatment"	8.08133470350911
"observation13"	21	"Treatment"	7.50067095208571
"observation14"	21	"Treatment"	7.69259216675413
"observation01"	22	"Control"	7.91774546678413
"observation02"	22	"Control"	8.57840264363446
"observation03"	22	"Control"	8.40342664017683
"observation04"	22	"Control"	7.57578792341535
"observation05"	22	"Control"	7.5896761609322
"observation06"	22	"Control"	7.62792699844873
"observation07"	22	"Control"	9.00462859820322
"observation08"	22	"Treatment"	7.2467729690208
"observation09"	22	"Treatment"	6.99595375467274
"observation10"	22	"Treatment"	7.70101360357997
"observation11"	22	"Treatment"	7.8177177084343
"observation12"	22	"Treatment"	7.97952455796957
"observation13"	22	"Treatment"	8.26421141502428
"observation14"	22	"Treatment"	8.12372047187118
"observation01"	23	"Control"	4.35117285114129
"observation02"	23	"Control"	5.02099252741665
"observation03"	23	"Control"	5.08075270279707
"observation04"	23	"Control"	4.60618235157175
"observation05"	23	"Control"	5.60893930676899
"observation06"	23	"Control"	4.88175568824407
"observation07"	23	"Control"	4.66344606567246
"observation08"	23	"Treatment"	4.42668097848545
"observation09"	23	"Treatment"	4.36254383075373
"observation10"	23	"Treatment"	3.85653205016823
"observation11"	23	"Treatment"	4.79890834412831
"observation12"	23	"Treatment"	4.83692186512824
"observation13"	23	"Treatment"	5.74825824445208
"observation14"	23	"Treatment"	5.58058931625748
"observation01"	24	"Control"	10.5495264497984
"observation02"	24	"Control"	11.1358148897309
"observation03"	24	"Control"	10.4784918436197
"observation04"	24	"Control"	10.632417995841
"observation05"	24	"Control"	10.2794808100855
"observation06"	24	"Control"	10.7084330077261
"observation07"	24	"Control"	9.88055453506598
"observation08"	24	"Treatment"	9.81669445843333
"observation09"	24	"Treatment"	10.4958061780356
"observation10"	24	"Treatment"	10.9165847097574
"observation11"	24	"Treatment"	10.5118964147482
"observation12"	24	"Treatment"	9.429047434347
"observation13"	24	"Treatment"	9.88037323872787
"observation14"	24	"Treatment"	10.0695432528537
"observation01"	25	"Control"	7.16228636831991
"observation02"	25	"Control"	5.97996201778441
"observation03"	25	"Control"	6.99419275900906
"observation04"	25	"Control"	6.34779276378528
"observation05"	25	"Control"	7.56973963725218
"observation06"	25	"Control"	6.96085292670678
"observation07"	25	"Control"	7.57991130057288
"observation08"	25	"Treatment"	7.24106211186378
"observation09"	25	"Treatment"	6.37655753861856
"observation10"	25	"Treatment"	7.17147692955097
"observation11"	25	"Treatment"	6.96274183782472
"observation12"	25	"Treatment"	6.52266490445107
"observation13"	25	"Treatment"	7.0701025539778
"observation14"	25	"Treatment"	6.95843503764476
"observation01"	26	"Control"	11.0186043707238
"observation02"	26	"Control"	10.6267907829238
"observation03"	26	"Control"	11.5548075197841
"observation04"	26	"Control"	11.1615964512008
"observation05"	26	"Control"	11.4735408047202
"observation06"	26	"Control"	9.831020044994
"observation07"	26	"Control"	12.0249008454442
"observation08"	26	"Treatment"	10.9120483742462
"observation09"	26	"Treatment"	10.5372259512003
"observation10"	26	"Treatment"	11.8779141112599
"observation11"	26	"Treatment"	11.0046948570966
"observation12"	26	"Treatment"	10.2341151279797
"observation13"	26	"Treatment"	11.4942134024676
"observation14"	26	"Treatment"	9.89160672193245
"observation01"	27	"Control"	12.6971410094363
"observation02"	27	"Control"	12.376802020768
"observation03"	27	"Control"	12.8761805469379
"observation04"	27	"Control"	12.8656887227971
"observation05"	27	"Control"	12.7144829360392
"observation06"	27	"Control"	12.8009517509015
"observation07"	27	"Control"	12.5468762445905
"observation08"	27	"Treatment"	12.5214989380882
"observation09"	27	"Treatment"	13.2557106699821
"observation10"	27	"Treatment"	12.0954184045049
"observation11"	27	"Treatment"	12.0998238194947
"observation12"	27	"Treatment"	12.5556442543526
"observation13"	27	"Treatment"	12.401889297544
"observation14"	27	"Treatment"	13.2739396247765
"observation01"	28	"Control"	6.51237177263646
"observation02"	28	"Control"	7.14209792453411
"observation03"	28	"Control"	6.80101419791882
"observation04"	28	"Control"	6.72256858492017
"observation05"	28	"Control"	7.173780265012
"observation06"	28	"Control"	7.62046316584856
"observation07"	28	"Control"	6.81140012877501
"observation08"	28	"Treatment"	6.71089427492102
"observation09"	28	"Treatment"	7.20497140382672
"observation10"	28	"Treatment"	7.04085238076963
"observation11"	28	"Treatment"	5.8009050168709
"observation12"	28	"Treatment"	7.90209509438101
"observation13"	28	"Treatment"	6.82692821091291
"observation14"	28	"Treatment"	7.40763918349827
"observation01"	29	"Control"	11.1494290450259
"observation02"	29	"Control"	10.0334851507588
"observation03"	29	"Control"	10.566656376244
"observation04"	29	"Control"	10.6258508911698
"observation05"	29	"Control"	10.0829405820179
"observation06"	29	"Control"	10.3916669018263
"observation07"	29	"Control"	9.92578654881185
"observation08"	29	"Treatment"	9.87147415403098
"observation09"	29	"Treatment"	9.95993794705387
"observation10"	29	"Treatment"	10.3193036513142
"observation11"	29	"Treatment"	9.98961292547554
"observation12"	29	"Treatment"	10.9427750070889
"observation13"	29	"Treatment"	9.82425739376212
"observation14"	29	"Treatment"	10.5601882084056
"observation01"	30	"Control"	5.02398664268806
"observation02"	30	"Control"	5.15790621163046
"observation03"	30	"Control"	4.61488130738269
"observation04"	30	"Control"	4.66097071907888
"observation05"	30	"Control"	4.88369474305483
"observation06"	30	"Control"	4.11282098585935
"observation07"	30	"Control"	5.66294227878344
"observation08"	30	"Treatment"	5.60127370971932
"observation09"	30	"Treatment"	5.34122102485553
"observation10"	30	"Treatment"	4.85590780985874
"observation11"	30	"Treatment"	3.82982767524655
"observation12"	30	"Treatment"	4.98498703230636
"observation13"	30	"Treatment"	4.77732487942978
"observation14"	30	"Treatment"	4.11392752346623
"observation01"	31	"Control"	6.70937898193638
"observation02"	31	"Control"	6.57779061764767
"observation03"	31	"Control"	6.25352920553815
"observation04"	31	"Control"	6.16538150090112
"observation05"	31	"Control"	6.69486303397166
"observation06"	31	"Control"	7.32832363926287
"observation07"	31	"Control"	6.61782465100802
"observation08"	31	"Treatment"	6.66857605429858
"observation09"	31	"Treatment"	6.19443456965068
"observation10"	31	"Treatment"	6.51452101968032
"observation11"	31	"Treatment"	7.36686745223542
"observation12"	31	"Treatment"	7.23148337527575
"observation13"	31	"Treatment"	6.91952676130287
"observation14"	31	"Treatment"	6.79997273094108
"observation01"	32	"Control"	5.56500482487229
"observation02"	32	"Control"	5.97303299577045
"observation03"	32	"Control"	5.61572733606707
"observation04"	32	"Control"	5.72457199294169
"observation05"	32	"Control"	6.98383377486715
"observation06"	32	"Control"	6.65502481169297
"observation07"	32	"Control"	6.58192525111918
"observation08"	32	"Treatment"	5.6856738405547
"observation09"	32	"Treatment"	6.65320083250668
"observation10"	32	"Treatment"	6.48014100250101
"observation11"	32	"Treatment"	7.38734680403604
"observation12"	32	"Treatment"	6.15421623980527
"observation13"	32	"Treatment"	5.76983854961922
"observation14"	32	"Treatment"	7.06306675328295
"observation01"	33	"Control"	4.23852306209929
"observation02"	33	"Control"	4.56597413260908
"observation03"	33	"Control"	4.38944579821116
"observation04"	33	"Control"	3.91117812283663
"observation05"	33	"Control"	4.2855365511276
"observation06"	33	"Control"	5.29691595046566
"observation07"	33	"Control"	4.22968998609188
"observation08"	33	"Treatment"	4.53687857660866
"observation09"	33	"Treatment"	4.4539464626854
"observation10"	33	"Treatment"	3.77493576405036
"observation11"	33	"Treatment"	4.49712222299324
"observation12"	33	"Treatment"	4.94503998131913
"observation13"	33	"Treatment"	5.31170983596607
"observation14"	33	"Treatment"	4.39035869075631
"observation01"	34	"Control"	9.12258356583779
"observation02"	34	"Control"	8.45318222391064
"observation03"	34	"Control"	8.41038123918303
"observation04"	34	"Control"	9.11993323768131
"observation05"	34	"Control"	8.84468533187362
"observation06"	34	"Control"	8.10860441500081
"observation07"	34	"Control"	8.53727523644093
"observation08"	34	"Treatment"	9.30867741672613
"observation09"	34	"Treatment"	8.75195314528064
"observation10"	34	"Treatment"	8.86876372319281
"observation11"	34	"Treatment"	8.86872518310023
"observation12"	34	"Treatment"	8.9272500316452
"observation13"	34	"Treatment"	9.17909688975088
"observation14"	34	"Treatment"	8.46766431735414
"observation01"	35	"Control"	9.88490778711569
"observation02"	35	"Control"	9.45567993921737
"observation03"	35	"Control"	10.2899682315612
"observation04"	35	"Control"	9.32623993772856
"observation05"	35	"Control"	9.88352752930168
"observation06"	35	"Control"	9.93064686309831
"observation07"	35	"Control"	9.33229514008031
"observation08"	35	"Treatment"	9.6268897507202
"observation09"	35	"Treatment"	9.42820918089864
"observation10"	35	"Treatment"	9.07815101173776
"observation11"	35	"Treatment"	8.58923780330302
"observation12"	35	"Treatment"	9.23600720027837
"observation13"	35	"Treatment"	9.15318198801278
"observation14"	35	"Treatment"	8.68899177030699
"observation01"	36	"Control"	7.58633610228565
"observation02"	36	"Control"	7.38810231008025
"observation03"	36	"Control"	7.72749949075657
"observation04"	36	"Control"	7.71447609705175
"observation05"	36	"Control"	7.55587814505095
"observation06"	36	"Control"	7.76411675190494
"observation07"	36	"Control"	7.97921052977855
"observation08"	36	"Treatment"	7.54692574030435
"observation09"	36	"Treatment"	7.3566152412424
"observation10"	36	"Treatment"	7.28972296877052
"observation11"	36	"Treatment"	7.79128741068635
"observation12"	36	"Treatment"	7.76776498682646
"observation13"	36	"Treatment"	8.20971917255278
"observation14"	36	"Treatment"	7.39268490414442
"observation01"	37	"Control"	10.8713764374348
"observation02"	37	"Control"	11.2298668679938
"observation03"	37	"Control"	10.7244283036658
"observation04"	37	"Control"	10.6425982956396
"observation05"	37	"Control"	10.733296264326
"observation06"	37	"Control"	11.5427187373285
"observation07"	37	"Control"	10.9854883896623
"observation08"	37	"Treatment"	11.5866969057818
"observation09"	37	"Treatment"	11.9627221810191
"observation10"	37	"Treatment"	11.2270578272719
"observation11"	37	"Treatment"	11.0364286948458
"observation12"	37	"Treatment"	10.9161266974518
"observation13"	37	"Treatment"	10.8640658841989
"observation14"	37	"Treatment"	11.4426877275881
"observation01"	38	"Control"	7.45098387748868
"observation02"	38	"Control"	6.42794401140355
"observation03"	38	"Control"	7.14932151811693
"observation04"	38	"Control"	6.21466891529771
"observation05"	38	"Control"	6.16281893557481
"observation06"	38	"Control"	6.75097248979158
"observation07"	38	"Control"	7.01915816728817
"observation08"	38	"Treatment"	5.97845302172214
"observation09"	38	"Treatment"	6.36344907262248
"observation10"	38	"Treatment"	6.56861915184643
"observation11"	38	"Treatment"	6.64553594788421
"observation12"	38	"Treatment"	7.05027312975186
"observation13"	38	"Treatment"	6.99736462339255
"observation14"	38	"Treatment"	6.58593451330718
"observation01"	39	"Control"	4.66006149039845
"observation02"	39	"Control"	5.25021331604741
"observation03"	39	"Control"	5.21462918942429
"observation04"	39	"Control"	6.37736606854298
"observation05"	39	"Control"	5.43548011670362
"observation06"	39	"Control"	5.15559122905652
"observation07"	39	"Control"	4.53264217479504
"observation08"	39	"Treatment"	5.1252712527337
"observation09"	39	"Treatment"	4.90220618676216
"observation10"	39	"Treatment"	5.55151172904563
"observation11"	39	"Treatment"	5.60899754885424
"observation12"	39	"Treatment"	5.91081340480185
"observation13"	39	"Treatment"	5.64846007873189
"observation14"	39	"Treatment"	5.57804367802744
"observation01"	40	"Control"	10.4291786326836
"observation02"	40	"Control"	10.5317296085376
"observation03"	40	"Control"	11.2484608709076
"observation04"	40	"Control"	9.73129518413412
"observation05"	40	"Control"	10.3086942457548
"observation06"	40	"Control"	10.3567513826059
"observation07"	40	"Control"	10.8882495781914
"observation08"	40	"Treatment"	10.5430817157618
"observation09"	40	"Treatment"	10.25778159372
"observation10"	40	"Treatment"	10.2700334063436
"observation11"	40	"Treatment"	10.5528297535821
"observation12"	40	"Treatment"	9.63809583238224
"observation13"	40	"Treatment"	10.2185599981741
"observation14"	40	"Treatment"	10.3141698534437
"observation01"	41	"Control"	6.63779247735949
"observation02"	41	"Control"	5.86796332806473
"observation03"	41	"Control"	6.26293757709934
"observation04"	41	"Control"	6.68676724569896
"observation05"	41	"Control"	7.14319000965664
"observation06"	41	"Control"	5.34842115333102
"observation07"	41	"Control"	6.69105934372516
"observation08"	41	"Treatment"	6.22771074218516
"observation09"	41	"Treatment"	5.73444052839316
"observation10"	41	"Treatment"	6.28101629930355
"observation11"	41	"Treatment"	6.68067144002972
"observation12"	41	"Treatment"	6.67437993222313
"observation13"	41	"Treatment"	6.53058411759093
"observation14"	41	"Treatment"	7.33900544315473
"observation01"	42	"Control"	6.53905212413963
"observation02"	42	"Control"	7.67632063428741
"observation03"	42	"Control"	7.69800473631435
"observation04"	42	"Control"	6.42454335274459
"observation05"	42	"Control"	6.87297731566963
"observation06"	42	"Control"	7.40592539522994
"observation07"	42	"Control"	8.05395916103636
"observation08"	42	"Treatment"	6.89697428075743
"observation09"	42	"Treatment"	7.08101069686042
"observation10"	42	"Treatment"	7.3791034941311
"observation11"	42	"Treatment"	7.30516719579516
"observation12"	42	"Treatment"	6.66603011424147
"observation13"	42	"Treatment"	7.15391042523365
"observation14"	42	"Treatment"	7.41650006015746
"observation01"	43	"Control"	10.3931136843948
"observation02"	43	"Control"	11.2697279254334
"observation03"	43	"Control"	11.0064952064614
"observation04"	43	"Control"	10.8502808393887
"observation05"	43	"Control"	11.3521353538715
"observation06"	43	"Control"	11.4820294971869
"observation07"	43	"Control"	10.643505646716
"observation08"	43	"Treatment"	9.2580715214591
"observation09"	43	"Treatment"	9.57598949895582
"observation10"	43	"Treatment"	10.0787012086456
"observation11"	43	"Treatment"	9.50739758373122
"observation12"	43	"Treatment"	9.32195074301528
"observation13"	43	"Treatment"	9.66790402701966
"observation14"	43	"Treatment"	10.5424021955526
"observation01"	44	"Control"	10.4664787445731
"observation02"	44	"Control"	9.95074799619384
"observation03"	44	"Control"	9.89578641326835
"observation04"	44	"Control"	8.8677637420714
"observation05"	44	"Control"	9.67249203174728
"observation06"	44	"Control"	9.74018600830427
"observation07"	44	"Control"	10.044359169888
"observation08"	44	"Treatment"	9.91793501312174
"observation09"	44	"Treatment"	9.95872322298549
"observation10"	44	"Treatment"	9.7374319471518
"observation11"	44	"Treatment"	9.79973791500073
"observation12"	44	"Treatment"	9.48396194344442
"observation13"	44	"Treatment"	10.3537273623113
"observation14"	44	"Treatment"	8.64020129558959
"observation01"	45	"Control"	6.89332461826546
"observation02"	45	"Control"	6.40005552614983
"observation03"	45	"Control"	6.47890874112243
"observation04"	45	"Control"	6.0928793464596
"observation05"	45	"Control"	5.951653815708
"observation06"	45	"Control"	6.91892892732117
"observation07"	45	"Control"	6.88432015295917
"observation08"	45	"Treatment"	7.01997150967694
"observation09"	45	"Treatment"	5.87576784382109
"observation10"	45	"Treatment"	7.44944951551065
"observation11"	45	"Treatment"	6.5868297136169
"observation12"	45	"Treatment"	6.7134198621695
"observation13"	45	"Treatment"	5.72440076260908
"observation14"	45	"Treatment"	6.54604000932791
"observation01"	46	"Control"	10.5519746958638
"observation02"	46	"Control"	11.7152907566657
"observation03"	46	"Control"	10.5952857934065
"observation04"	46	"Control"	11.8433691194402
"observation05"	46	"Control"	11.1311340200241
