"Variable"	"Observation"	"Group"	"Series"	"Measurement"	"Measurement2"
"var04"	"obs214"	"group02"	3	0.720204814337194	0.04894997861702
"var05"	"obs215"	"group02"	3	0.265904424479231	0.0461680023465306
"var06"	"obs216"	"group02"	3	0.923973402706906	0.0769957496086136
"var07"	"obs217"	"group02"	3	0.585731907980517	0.00667094409000129
"var08"	"obs218"	"group02"	3	0.967769043752924	0.0777071662945673
"var09"	"obs219"	"group02"	3	0.297087540151551	0.0883746981387958
"var10"	"obs220"	"group02"	3	0.0470432878937572	0.0741957242367789
"var01"	"obs221"	"group03"	3	0.490331536857411	0.0505163972033188
"var02"	"obs222"	"group03"	3	0.567156031960621	0.0667940065264702
"var03"	"obs223"	"group03"	3	0.53269804478623	0.030259712645784
"var04"	"obs224"	"group03"	3	0.781646905001253	0.0696512065129355
"var05"	"obs225"	"group03"	3	0.00709420605562627	0.00709481621161103
"var06"	"obs226"	"group03"	3	0.327226100489497	0.0272374492371455
"var07"	"obs227"	"group03"	3	0.125172712141648	0.0899678007699549
"var08"	"obs228"	"group03"	3	0.62398451869376	0.0818483260227367
"var09"	"obs229"	"group03"	3	0.313739136327058	0.0782439910108224
"var10"	"obs230"	"group03"	3	0.856159415328875	0.0607608873629943
"var01"	"obs231"	"group04"	3	0.341067973989993	0.0846073611872271
"var02"	"obs232"	"group04"	3	0.162186355562881	0.0697287610732019
"var03"	"obs233"	"group04"	3	0.517035932280123	0.0809047812828794
"var04"	"obs234"	"group04"	3	0.653817288577557	0.0752773540560156
"var05"	"obs235"	"group04"	3	0.685444794362411	0.0269537184387445
"var06"	"obs236"	"group04"	3	0.929770023562014	0.0967061371775344
"var07"	"obs237"	"group04"	3	0.680064786924049	0.0554886974394321
"var08"	"obs238"	"group04"	3	0.388906399253756	0.0280586241511628
"var09"	"obs239"	"group04"	3	0.578161562560126	0.0279776463285089
"var10"	"obs240"	"group04"	3	0.687573901377618	0.0847796266432852
"var01"	"obs241"	"group05"	3	0.681356931570917	0.0877587266964838
"var02"	"obs242"	"group05"	3	0.689197860425338	0.0194785232655704
"var03"	"obs243"	"group05"	3	0.475534624187276	0.0372788061387837
"var04"	"obs244"	"group05"	3	0.81002993718721	0.0549685659119859
"var05"	"obs245"	"group05"	3	0.976120987441391	0.00340420608408749
"var06"	"obs246"	"group05"	3	0.653922301717103	0.0906243970850483
"var07"	"obs247"	"group05"	3	0.307701893849298	0.0252058665733784
"var08"	"obs248"	"group05"	3	0.0275307504925877	0.0196490948786959
"var09"	"obs249"	"group05"	3	0.380608209175989	0.0438149569090456
"var10"	"obs250"	"group05"	3	0.651909178355709	0.0918333455920219
"var01"	"obs251"	"group06"	3	0.249724826076999	0.0821720668580383
"var02"	"obs252"	"group06"	3	0.529993728268892	0.0154992356430739
"var03"	"obs253"	"group06"	3	0.0223420700058341	0.0847541688708588
"var04"	"obs254"	"group06"	3	0.041585833998397	0.00926168030127883
"var05"	"obs255"	"group06"	3	0.684972796821967	0.00300745698623359
"var06"	"obs256"	"group06"	3	0.685958035057411	0.0217356143519282
"var07"	"obs257"	"group06"	3	0.372981583932415	0.00215663420967758
"var08"	"obs258"	"group06"	3	0.334300799993798	0.0845273944549263
"var09"	"obs259"	"group06"	3	0.0398393124341965	0.0177563438657671
"var10"	"obs260"	"group06"	3	0.760578650515527	0.0387095759622753
"var01"	"obs261"	"group07"	3	0.185086235404015	0.0127039427403361
"var02"	"obs262"	"group07"	3	0.640579173341393	0.0322914415504783
"var03"	"obs263"	"group07"	3	0.564802093897015	0.0216726477723569
"var04"	"obs264"	"group07"	3	0.195907569956034	0.000757771544158459
"var05"	"obs265"	"group07"	3	0.421784992795438	0.0983113868627697
"var06"	"obs266"	"group07"	3	0.92385050165467	0.0699750188039616
"var07"	"obs267"	"group07"	3	0.345693388255313	0.0589818298816681
"var08"	"obs268"	"group07"	3	0.496236738516018	0.0618270003935322
"var09"	"obs269"	"group07"	3	0.688629784388468	0.0441911470377818
"var10"	"obs270"	"group07"	3	0.612230113940313	0.045817309897393
"var01"	"obs271"	"group08"	3	0.179211983224377	0.0366489375242963
"var02"	"obs272"	"group08"	3	0.661712427390739	0.057459565391764
"var03"	"obs273"	"group08"	3	0.292607647832483	0.0639065973460674
"var04"	"obs274"	"group08"	3	0.0557833248749375	0.0462232078425586
"var05"	"obs275"	"group08"	3	0.787536842050031	0.0144204797688872
"var06"	"obs276"	"group08"	3	0.478777529206127	0.0246877478202805
"var07"	"obs277"	"group08"	3	0.636113836662844	0.00883759411517531
"var08"	"obs278"	"group08"	3	0.0837328187189996	0.0408482379978523
"var09"	"obs279"	"group08"	3	0.10101474635303	0.0772953047882766
"var10"	"obs280"	"group08"	3	0.4026271821931	0.0171962455147877
"var01"	"obs281"	"group09"	3	0.590848714346066	0.00740115933585912
"var02"	"obs282"	"group09"	3	0.342443412169814	0.0516128055518493
"var03"	"obs283"	"group09"	3	0.228160010650754	0.0814246866619214
"var04"	"obs284"	"group09"	3	0.734468770213425	0.0848166567273438
"var05"	"obs285"	"group09"	3	0.62844055541791	0.00146466458681971
"var06"	"obs286"	"group09"	3	0.394239896209911	0.00418516527861357
"var07"	"obs287"	"group09"	3	0.499358830973506	0.0144912365823984
"var08"	"obs288"	"group09"	3	0.121416587149724	0.0131705143023282
"var09"	"obs289"	"group09"	3	0.971854945179075	0.00467553834896535
"var10"	"obs290"	"group09"	3	0.724447804037482	0.0742184458766133
"var01"	"obs291"	"group10"	3	0.362297087907791	0.0479727954836562
"var02"	"obs292"	"group10"	3	0.134027467109263	0.0951776154804975
"var03"	"obs293"	"group10"	3	0.16010768013075	0.0880388654302806
"var04"	"obs294"	"group10"	3	0.770509756403044	0.000779705261811614
"var05"	"obs295"	"group10"	3	0.121052760863677	0.0176041162805632
"var06"	"obs296"	"group10"	3	0.0870063684415072	0.0145334501052275
"var07"	"obs297"	"group10"	3	0.275528469122946	0.0160121752647683
"var08"	"obs298"	"group10"	3	0.397830145899206	0.00762682999484241
"var09"	"obs299"	"group10"	3	0.796029248042032	0.0285056624561548
"var10"	"obs300"	"group10"	3	0.828759753843769	0.0662180114770308
"var01"	"obs301"	"group01"	4	0.21319818473421	0.0941512123914436
"var02"	"obs302"	"group01"	4	0.893456781748682	0.0376601140480489
"var03"	"obs303"	"group01"	4	0.0335419145412743	0.0701353310141712
"var04"	"obs304"	"group01"	4	0.959115013713017	0.0569289702223614
"var05"	"obs305"	"group01"	4	0.899536142125726	0.0146750818938017
"var06"	"obs306"	"group01"	4	0.660664691822603	0.0660755283199251
"var07"	"obs307"	"group01"	4	0.942102421540767	0.0981161923613399
"var08"	"obs308"	"group01"	4	0.0769957168959081	0.0850545663153753
"var09"	"obs309"	"group01"	4	0.663482275325805	0.0353335801744834
"var10"	"obs310"	"group01"	4	0.884715648600832	0.0411076980875805
"var01"	"obs311"	"group02"	4	0.984300510957837	0.0934636963065714
"var02"	"obs312"	"group02"	4	0.625640548532829	0.0352508276700974
"var03"	"obs313"	"group02"	4	0.326881655259058	0.00468691994901747
"var04"	"obs314"	"group02"	4	0.616177427815273	0.0939526633359492
"var05"	"obs315"	"group02"	4	0.957925210008398	0.0564066129736602
"var06"	"obs316"	"group02"	4	0.813724986743182	0.0877457055496052
"var07"	"obs317"	"group02"	4	0.391659264452755	0.0746841848827899
"var08"	"obs318"	"group02"	4	0.232975270599127	0.053754479275085
"var09"	"obs319"	"group02"	4	0.715325731551275	0.0253388008801267
"var10"	"obs320"	"group02"	4	0.788826467934996	0.010794184776023
"var01"	"obs321"	"group03"	4	0.415076223900542	0.0376978432992473
"var02"	"obs322"	"group03"	4	0.173817958449945	0.0410185201326385
"var03"	"obs323"	"group03"	4	0.0902731928508729	0.0974010953912511
"var04"	"obs324"	"group03"	4	0.860273310681805	0.0356997776310891
"var05"	"obs325"	"group03"	4	0.957809190265834	0.0330697708996013
"var06"	"obs326"	"group03"	4	0.32886845851317	0.0325849684188142
"var07"	"obs327"	"group03"	4	0.785425343317911	0.00271891711745411
"var08"	"obs328"	"group03"	4	0.338351946789771	0.0204808630282059
"var09"	"obs329"	"group03"	4	0.0820278532337397	0.00542404856532812
"var10"	"obs330"	"group03"	4	0.107221756828949	0.0401822415878996
"var01"	"obs331"	"group04"	4	0.884638961637393	0.0108142503071576
"var02"	"obs332"	"group04"	4	0.0793336858041584	0.00410111115779728
"var03"	"obs333"	"group04"	4	0.0482807522639632	0.0723577469121665
"var04"	"obs334"	"group04"	4	0.215300066163763	0.00107331250328571
"var05"	"obs335"	"group04"	4	0.117860702099279	0.0182740584947169
"var06"	"obs336"	"group04"	4	0.417287057964131	0.00254001012071967
"var07"	"obs337"	"group04"	4	0.203946584835649	0.0323171641211957
"var08"	"obs338"	"group04"	4	0.482874390669167	0.0339207099284977
"var09"	"obs339"	"group04"	4	0.236365604680032	0.0117320947814733
"var10"	"obs340"	"group04"	4	0.086092769401148	0.0704574939562008
"var01"	"obs341"	"group05"	4	0.0374857392162085	0.0613192963879556
"var02"	"obs342"	"group05"	4	0.567572809290141	0.0840868666768074
"var03"	"obs343"	"group05"	4	0.172709339298308	0.0916033610934392
"var04"	"obs344"	"group05"	4	0.434233736712486	0.0347355062374845
"var05"	"obs345"	"group05"	4	0.922340011922643	0.0953211126616225
"var06"	"obs346"	"group05"	4	0.946463937871158	0.0992784613044932
"var07"	"obs347"	"group05"	4	0.868227381957695	0.0631184241501614
"var08"	"obs348"	"group05"	4	0.286394549766555	0.022129637375474
"var09"	"obs349"	"group05"	4	0.619127900339663	0.0130132228368893
"var10"	"obs350"	"group05"	4	0.572983604157344	0.0385808797786012
"var01"	"obs351"	"group06"	4	0.458047703141347	0.0676252856617793
"var02"	"obs352"	"group06"	4	0.825406052405015	0.024546517431736
"var03"	"obs353"	"group06"	4	0.191267506452277	0.0775930233066902
"var04"	"obs354"	"group06"	4	0.796832437161356	0.097875685733743
"var05"	"obs355"	"group06"	4	0.891474383650348	0.0476641482440755
"var06"	"obs356"	"group06"	4	0.893430087482557	0.0343948261346668
"var07"	"obs357"	"group06"	4	0.0408217196818441	0.0910174631979317
"var08"	"obs358"	"group06"	4	0.0172525893431157	0.0975172529462725
"var09"	"obs359"	"group06"	4	0.21271700062789	0.0482980444794521
"var10"	"obs360"	"group06"	4	0.754470143932849	0.0505626353435218
"var01"	"obs361"	"group07"	4	0.62588076479733	0.0525195248657838
"var02"	"obs362"	"group07"	4	0.168605442624539	0.0766460750252008
"var03"	"obs363"	"group07"	4	0.845184509642422	0.0983237616019323
"var04"	"obs364"	"group07"	4	0.238378147128969	0.094403419806622
"var05"	"obs365"	"group07"	4	0.393613293534145	0.0680456392234191
"var06"	"obs366"	"group07"	4	0.108364321291447	0.0307935644173995
"var07"	"obs367"	"group07"	4	0.415277090622112	0.0454873170470819
"var08"	"obs368"	"group07"	4	0.391841623699293	0.036693132435903
"var09"	"obs369"	"group07"	4	0.131200803210959	0.0114508118713275
"var10"	"obs370"	"group07"	4	0.1146522059571	0.0236576773459092
"var01"	"obs371"	"group08"	4	0.27592747961171	0.0944763549370691
"var02"	"obs372"	"group08"	4	0.113552203169093	0.0783229074673727
"var03"	"obs373"	"group08"	4	0.305626375600696	0.0429427449358627
"var04"	"obs374"	"group08"	4	0.01808070554398	0.0702315461123362
"var05"	"obs375"	"group08"	4	0.799397465540096	0.0126540780533105
"var06"	"obs376"	"group08"	4	0.438516818918288	0.0919861656147987
"var07"	"obs377"	"group08"	4	0.972533992491663	0.0127027186565101
"var08"	"obs378"	"group08"	4	0.100341506768018	0.0735062347957864
"var09"	"obs379"	"group08"	4	0.231289225863293	0.0583430787082762
"var10"	"obs380"	"group08"	4	0.0332474105525762	0.090189592121169
"var01"	"obs381"	"group09"	4	0.563259149668738	0.0298612402286381
"var02"	"obs382"	"group09"	4	0.246689971769229	0.0180513678351417
"var03"	"obs383"	"group09"	4	0.995382081717253	0.0203402083134279
"var04"	"obs384"	"group09"	4	0.958559790393338	0.00238486602902412
"var05"	"obs385"	"group09"	4	0.446322453673929	0.0293253788957372
"var06"	"obs386"	"group09"	4	0.783211081754416	0.0927606164943427
"var07"	"obs387"	"group09"	4	0.17404967918992	0.00528506760019809
"var08"	"obs388"	"group09"	4	0.957498028874397	0.0698466134490445
"var09"	"obs389"	"group09"	4	0.342659073416144	0.0116677890066057
"var10"	"obs390"	"group09"	4	0.360378361074254	0.0695493260165676
"var01"	"obs391"	"group10"	4	0.0828570628073066	0.0821478825062513
"var02"	"obs392"	"group10"	4	0.56001537409611	0.015964644565247
"var03"	"obs393"	"group10"	4	0.378249585395679	0.075278257066384
"var04"	"obs394"	"group10"	4	0.460044344654307	0.0919614541577175
"var05"	"obs395"	"group10"	4	0.739399138838053	0.0302643986186013
"var06"	"obs396"	"group10"	4	0.891425754642114	0.0349640316097066
"var07"	"obs397"	"group10"	4	0.150687714107335	0.0831550802337006
